Jurisdictions,Total Households,Population 25 years and older,Less than 9th Grade,High School no Diploma,High School Diploma,Some College no degree,Associates degree,Bachelor's degree,Graduate or Professional,Employment Status of the Population 16 years and over,Civilian Labor Force (16 years & over),Employed,Unemployed,Unemployment Rate,Commute Workers 16 yrs and over,Percent Drove Alone,Percent Carpooled,Percent Public Transportation,Percent Walked,Percent Other,Percent Worked at Home,Median Household Income ($),Families,Percent Families in Poverty,Percent Civilian Population w/ Health Ins. Cov.,Total Housing Units,Percent Occupied,Percent Vacant,Total Population,Voting Age Population,Male,Female,White Alone,Black Alone,Asian Alone,American Indian/Alaska Native Alone,Native Hawaiian/Pacific Islander Alone,Some Other Race Alone,Two or More Races,Hispanic or Latino (of any race)
Allegany County,27759,50489,1307,4002,21070,10154,4758,4888,4310,61337,31591,28738,2853,9,28108,82.5,9.7,0.5,4.4,1.2,1.7,42771,17126,10.6,94.1,33211,84,16,72591,58846,37892,34699,64164,5899,594,120,24,210,1580,1257
Anne Arundel County,205395,387306,9133,21910,93676,77911,29279,90536,64861,451557,306519,290628,15891,5.2,296978,80.1,7.5,3.6,2.3,1.4,5.1,94502,142696,3.9,94.6,219319,93.1,6.9,564600,418118,279581,285019,417111,91567,20818,1025,408,13095,20576,41275
Baltimore County,312859,573263,18315,32698,152622,112480,40355,125363,91430,670033,445373,420974,24399,5.5,412831,79.2,8.7,4.8,1.8,1.5,4,71810,204288,6,93.3,337031,93,7,828637,607614,392930,435707,514340,231516,49045,2320,398,8728,22290,42438
Calvert County,31462,61269,1096,2716,18833,15552,4642,10564,7866,71843,49333,45756,3577,7.3,45262,81.7,8.4,3,0.7,0.9,5.3,100350,23759,3.3,94.7,34613,90.4,9.6,90824,68233,45184,45640,73885,10797,1504,150,34,541,3913,3276
Caroline County,11996,22216,1230,2470,9079,4072,1687,2182,1496,25875,16761,15674,1087,6.5,15387,83.7,8.6,0.9,2.4,1.7,2.6,52469,8670,12.1,91.7,13525,88.4,11.6,32785,24049,15971,16814,26338,4376,190,96,18,721,1046,2247
Carroll County,60432,115213,2363,6658,34633,22755,8943,25023,14838,135084,91970,88335,3635,4,86849,85.5,6.9,0.8,1.4,0.7,4.7,90510,45399,3.4,96.3,63123,95.6,4.4,167319,127833,82784,84535,154304,5585,2762,348,75,1001,3244,5368
Cecil County,37076,69969,2187,5674,25824,15106,5084,9632,6462,81142,53741,50620,3121,5.8,49958,82.9,8.4,1.2,1.6,1.4,4.6,70516,26121,6.5,94.5,42269,87.3,12.7,102416,77244,50878,51538,90422,6972,1505,280,35,983,2219,4231
Charles County,54988,103318,2346,5189,33029,24837,8473,17540,11904,122589,82373,78635,3738,4.5,79070,81.4,7.3,5.8,1.1,0.6,3.7,93973,40303,5.2,95.9,58014,93.4,6.6,156021,114231,75368,80653,72951,67351,4916,894,163,1151,8595,8358
Dorchester County,12940,23131,926,2466,8856,4753,1476,2926,1728,26313,16613,15240,1373,8.3,14847,78.4,14.9,0.8,2.1,1.3,2.6,50532,8539,11.9,94.4,16700,77.3,22.7,32386,24851,15476,16910,21345,8901,325,27,0,554,1234,1615
Frederick County,90022,166221,4713,7623,40825,32534,13284,39146,28096,194819,137361,130387,6974,5.1,128717,78.1,9.6,2.9,2.1,1.2,6.1,88502,65073,4.5,94.7,93645,95.1,4.9,246105,176511,121305,124800,199955,22103,11186,618,174,3917,8152,21623
